交易日期,佣金,印花税,成交价,成交方向,成交量,股票代码,调仓日期
2020-01-02,16.6500,0.0000,16.6500,1.0000,500.0000,sz000001,1
2020-01-03,16.9400,8.4700,16.9400,-1.0000,500.0000,sz000001,1
2020-01-06,17.0100,0.0000,17.0100,1.0000,500.0000,sz000001,1
2020-01-07,17.1300,8.5650,17.1300,-1.0000,500.0000,sz000001,1
2020-01-08,17.0000,0.0000,17.0000,1.0000,500.0000,sz000001,1
2020-01-09,16.8100,8.4050,16.8100,-1.0000,500.0000,sz000001,1
2020-01-10,16.7900,0.0000,16.7900,1.0000,500.0000,sz000001,1
2020-01-13,16.7500,8.3750,16.7500,-1.0000,500.0000,sz000001,1
2020-01-14,16.9900,0.0000,16.9900,1.0000,500.0000,sz000001,1
2020-01-15,16.7900,8.3950,16.7900,-1.0000,500.0000,sz000001,1
2020-01-16,16.5200,0.0000,16.5200,1.0000,500.0000,sz000001,1
2020-01-17,16.3800,8.1900,16.3800,-1.0000,500.0000,sz000001,1
2020-01-20,16.4300,0.0000,16.4300,1.0000,500.0000,sz000001,1
2020-01-21,16.3400,8.1700,16.3400,-1.0000,500.0000,sz000001,1
2020-01-22,19.1040,0.0000,15.9200,1.0000,600.0000,sz000001,1
2020-01-23,19.1040,9.5520,15.9200,-1.0000,600.0000,sz000001,1
2020-02-03,16.7880,0.0000,13.9900,1.0000,600.0000,sz000001,1
2020-02-04,16.8600,8.4300,14.0500,-1.0000,600.0000,sz000001,1
2020-02-05,17.5080,0.0000,14.5900,1.0000,600.0000,sz000001,1
2020-02-06,17.7720,8.8860,14.8100,-1.0000,600.0000,sz000001,1
2020-02-07,17.5200,0.0000,14.6000,1.0000,600.0000,sz000001,1
2020-02-10,17.4120,8.7060,14.5100,-1.0000,600.0000,sz000001,1
2020-02-11,17.5200,0.0000,14.6000,1.0000,600.0000,sz000001,1
2020-02-12,17.7480,8.8740,14.7900,-1.0000,600.0000,sz000001,1
2020-02-13,17.6520,0.0000,14.7100,1.0000,600.0000,sz000001,1
2020-02-14,17.7000,8.8500,14.7500,-1.0000,600.0000,sz000001,1
2020-02-17,18.0480,0.0000,15.0400,1.0000,600.0000,sz000001,1
2020-02-18,18.3960,9.1980,15.3300,-1.0000,600.0000,sz000001,1
2020-02-19,18.1200,0.0000,15.1000,1.0000,600.0000,sz000001,1
2020-02-20,18.3240,9.1620,15.2700,-1.0000,600.0000,sz000001,1
2020-02-21,18.5880,0.0000,15.4900,1.0000,600.0000,sz000001,1
2020-02-24,18.5520,9.2760,15.4600,-1.0000,600.0000,sz000001,1
2020-02-25,18.0000,0.0000,15.0000,1.0000,600.0000,sz000001,1
2020-02-26,17.7240,8.8620,14.7700,-1.0000,600.0000,sz000001,1
2020-02-27,17.9520,0.0000,14.9600,1.0000,600.0000,sz000001,1
2020-02-28,17.8200,8.9100,14.8500,-1.0000,600.0000,sz000001,1
2020-01-02,16.6500,0.0000,16.6500,1.0000,500.0000,sz000001,2
2020-01-03,16.9400,8.4700,16.9400,-1.0000,500.0000,sz000001,2
2020-01-06,17.0100,0.0000,17.0100,1.0000,500.0000,sz000001,2
2020-01-07,17.1300,8.5650,17.1300,-1.0000,500.0000,sz000001,2
2020-01-08,17.0000,0.0000,17.0000,1.0000,500.0000,sz000001,2
2020-01-09,16.8100,8.4050,16.8100,-1.0000,500.0000,sz000001,2
2020-01-10,16.7900,0.0000,16.7900,1.0000,500.0000,sz000001,2
2020-01-13,16.7500,8.3750,16.7500,-1.0000,500.0000,sz000001,2
2020-01-14,16.9900,0.0000,16.9900,1.0000,500.0000,sz000001,2
2020-01-15,16.7900,8.3950,16.7900,-1.0000,500.0000,sz000001,2
2020-01-16,16.5200,0.0000,16.5200,1.0000,500.0000,sz000001,2
2020-01-17,16.3800,8.1900,16.3800,-1.0000,500.0000,sz000001,2
2020-01-20,16.4300,0.0000,16.4300,1.0000,500.0000,sz000001,2
2020-01-21,16.3400,8.1700,16.3400,-1.0000,500.0000,sz000001,2
2020-01-22,19.1040,0.0000,15.9200,1.0000,600.0000,sz000001,2
2020-01-23,19.1040,9.5520,15.9200,-1.0000,600.0000,sz000001,2
2020-02-03,16.7880,0.0000,13.9900,1.0000,600.0000,sz000001,2
2020-02-04,16.8600,8.4300,14.0500,-1.0000,600.0000,sz000001,2
2020-02-05,17.5080,0.0000,14.5900,1.0000,600.0000,sz000001,2
2020-02-06,17.7720,8.8860,14.8100,-1.0000,600.0000,sz000001,2
2020-02-07,17.5200,0.0000,14.6000,1.0000,600.0000,sz000001,2
2020-02-10,17.4120,8.7060,14.5100,-1.0000,600.0000,sz000001,2
2020-02-11,17.5200,0.0000,14.6000,1.0000,600.0000,sz000001,2
2020-02-12,17.7480,8.8740,14.7900,-1.0000,600.0000,sz000001,2
2020-02-13,17.6520,0.0000,14.7100,1.0000,600.0000,sz000001,2
2020-02-14,17.7000,8.8500,14.7500,-1.0000,600.0000,sz000001,2
2020-02-17,18.0480,0.0000,15.0400,1.0000,600.0000,sz000001,2
2020-02-18,18.3960,9.1980,15.3300,-1.0000,600.0000,sz000001,2
2020-02-19,18.1200,0.0000,15.1000,1.0000,600.0000,sz000001,2
2020-02-20,18.3240,9.1620,15.2700,-1.0000,600.0000,sz000001,2
2020-02-21,18.5880,0.0000,15.4900,1.0000,600.0000,sz000001,2
2020-02-24,18.5520,9.2760,15.4600,-1.0000,600.0000,sz000001,2
2020-02-25,18.0000,0.0000,15.0000,1.0000,600.0000,sz000001,2
2020-02-26,17.7240,8.8620,14.7700,-1.0000,600.0000,sz000001,2
2020-02-27,17.9520,0.0000,14.9600,1.0000,600.0000,sz000001,2
2020-02-28,17.8200,8.9100,14.8500,-1.0000,600.0000,sz000001,2
2020-01-02,16.6500,0.0000,16.6500,1.0000,500.0000,sz000001,3
2020-01-03,16.9400,8.4700,16.9400,-1.0000,500.0000,sz000001,3
2020-01-06,17.0100,0.0000,17.0100,1.0000,500.0000,sz000001,3
2020-01-07,17.1300,8.5650,17.1300,-1.0000,500.0000,sz000001,3
2020-01-08,17.0000,0.0000,17.0000,1.0000,500.0000,sz000001,3
2020-01-09,16.8100,8.4050,16.8100,-1.0000,500.0000,sz000001,3
2020-01-10,16.7900,0.0000,16.7900,1.0000,500.0000,sz000001,3
2020-01-13,16.7500,8.3750,16.7500,-1.0000,500.0000,sz000001,3
2020-01-14,16.9900,0.0000,16.9900,1.0000,500.0000,sz000001,3
2020-01-15,16.7900,8.3950,16.7900,-1.0000,500.0000,sz000001,3
2020-01-16,16.5200,0.0000,16.5200,1.0000,500.0000,sz000001,3
2020-01-17,16.3800,8.1900,16.3800,-1.0000,500.0000,sz000001,3
2020-01-20,16.4300,0.0000,16.4300,1.0000,500.0000,sz000001,3
2020-01-21,16.3400,8.1700,16.3400,-1.0000,500.0000,sz000001,3
2020-01-22,19.1040,0.0000,15.9200,1.0000,600.0000,sz000001,3
2020-01-23,19.1040,9.5520,15.9200,-1.0000,600.0000,sz000001,3
2020-02-03,16.7880,0.0000,13.9900,1.0000,600.0000,sz000001,3
2020-02-04,16.8600,8.4300,14.0500,-1.0000,600.0000,sz000001,3
2020-02-05,17.5080,0.0000,14.5900,1.0000,600.0000,sz000001,3
2020-02-06,17.7720,8.8860,14.8100,-1.0000,600.0000,sz000001,3
2020-02-07,17.5200,0.0000,14.6000,1.0000,600.0000,sz000001,3
2020-02-10,17.4120,8.7060,14.5100,-1.0000,600.0000,sz000001,3
2020-02-11,17.5200,0.0000,14.6000,1.0000,600.0000,sz000001,3
2020-02-12,17.7480,8.8740,14.7900,-1.0000,600.0000,sz000001,3
2020-02-13,17.6520,0.0000,14.7100,1.0000,600.0000,sz000001,3
2020-02-14,17.7000,8.8500,14.7500,-1.0000,600.0000,sz000001,3
2020-02-17,18.0480,0.0000,15.0400,1.0000,600.0000,sz000001,3
2020-02-18,18.3960,9.1980,15.3300,-1.0000,600.0000,sz000001,3
2020-02-19,18.1200,0.0000,15.1000,1.0000,600.0000,sz000001,3
2020-02-20,18.3240,9.1620,15.2700,-1.0000,600.0000,sz000001,3
2020-02-21,18.5880,0.0000,15.4900,1.0000,600.0000,sz000001,3
2020-02-24,18.5520,9.2760,15.4600,-1.0000,600.0000,sz000001,3
2020-02-25,18.0000,0.0000,15.0000,1.0000,600.0000,sz000001,3
2020-02-26,17.7240,8.8620,14.7700,-1.0000,600.0000,sz000001,3
2020-02-27,17.9520,0.0000,14.9600,1.0000,600.0000,sz000001,3
2020-02-28,17.8200,8.9100,14.8500,-1.0000,600.0000,sz000001,3
