code,start,param,stock_rtn,stock_md,stock_md_start,stock_md_end,strategy_rtn,strategy_md,strategy_md_start,strategy_md_end,excessive_rtn
sh603861,2016-04-05,10,-0.2672189378981328,-0.8387699539005288,2016-08-31,2020-02-04,-0.12849548455883064,-0.6261682011435896,2016-08-31,2018-11-09,0.13872345333930214
sh603861,2016-04-07,12,-0.26240076046958205,-0.8387699539005288,2016-08-31,2020-02-04,-0.04773318460952636,-0.660752810184136,2016-08-31,2018-11-09,0.2146675758600557
sh603861,2016-04-11,14,-0.27643378380052164,-0.8387699539005288,2016-08-31,2020-02-04,-0.040714947057235995,-0.6026078533576111,2016-08-31,2018-11-09,0.23571883674328564
sh603861,2016-04-13,16,-0.2665537377996896,-0.8387699539005288,2016-08-31,2020-02-04,-0.16600899207475006,-0.7044727099996982,2016-08-31,2020-02-28,0.10054474572493954
sh603861,2016-04-15,18,-0.2907550940296564,-0.8387699539005288,2016-08-31,2020-02-04,-0.10138081266477161,-0.5897528744289926,2016-08-31,2020-02-28,0.18937428136488477
sh603861,2016-04-19,20,-0.2896994831881693,-0.8387699539005288,2016-08-31,2020-02-04,-0.20374356455652487,-0.6504727527295524,2016-08-31,2020-03-09,0.08595591863164442
sh603861,2016-04-21,22,-0.29019194315712493,-0.8387699539005288,2016-08-31,2020-02-04,-0.19168570905526794,-0.6111359930072096,2016-07-05,2020-03-09,0.098506234101857
sh603861,2016-04-25,24,-0.275815077724586,-0.8387699539005288,2016-08-31,2020-02-04,-0.23910382941345876,-0.6836912911138547,2016-07-05,2020-03-09,0.036711248311127265
sh603861,2016-04-27,26,-0.2799007973896903,-0.8387699539005288,2016-08-31,2020-02-04,-0.19467209451332068,-0.7073723942641514,2016-08-31,2020-03-09,0.08522870287636963
sh603861,2016-04-29,28,-0.2695590421685937,-0.8387699539005288,2016-08-31,2020-02-04,-0.285226974522929,-0.8038701687079371,2016-08-31,2020-03-09,-0.01566793235433528
sh603861,2016-05-04,30,-0.2756381768428845,-0.8387699539005288,2016-08-31,2020-02-04,-0.2654998459781053,-0.7837601236907251,2016-08-31,2020-03-09,0.010138330864779221
sz300526,2016-08-15,10,0.774912990230556,-0.8161365259687063,2016-11-14,2018-10-16,0.0489835539202601,-0.821218801905005,2016-11-14,2019-06-18,-0.7259294363102959
sz300526,2016-08-17,12,0.6657096066599693,-0.8161365259687063,2016-11-14,2018-10-16,0.1196339423117847,-0.7991049527328432,2016-11-14,2018-10-16,-0.5460756643481846
sz300526,2016-08-19,14,0.5626797912574404,-0.8161365259687063,2016-11-14,2018-10-16,0.1196339423117847,-0.7991049527328432,2016-11-14,2018-10-16,-0.4430458489456557
sz300526,2016-08-23,16,0.46542432194708483,-0.8161365259687063,2016-11-14,2018-10-16,0.24626111855367938,-0.7239880362044998,2016-11-14,2019-05-24,-0.21916320339340545
sz300526,2016-08-25,18,0.37381308148417136,-0.8161365259687063,2016-11-14,2018-10-16,0.3652083532268564,-0.7191539794546833,2016-11-14,2019-05-23,-0.008604728257314953
sz300526,2016-08-29,20,0.3559641296232854,-0.8161365259687063,2016-11-14,2018-10-16,0.2101080081787181,-0.7389582075645909,2016-11-14,2019-05-23,-0.14585612144456728
sz300526,2016-08-31,22,0.31022096396929033,-0.8161365259687063,2016-11-14,2018-10-16,0.27496863121023973,-0.7320634267293944,2016-11-14,2018-10-16,-0.0352523327590506
sz300526,2016-09-02,24,0.29342629195993886,-0.8161365259687063,2016-11-14,2018-10-16,0.18173652980375166,-0.7616700482854115,2016-11-14,2019-06-18,-0.1116897621561872
sz300526,2016-10-19,26,0.2989131542669887,-0.8161365259687063,2016-11-14,2018-10-16,0.037944637668864356,-0.8292505037331828,2016-11-14,2019-06-18,-0.26096851659812437
sz300526,2016-10-21,28,0.3423134861218202,-0.8161365259687063,2016-11-14,2018-10-16,-0.0008332367525651918,-0.8465177908199565,2016-11-14,2019-06-18,-0.3431467228743854
sz300526,2016-10-25,30,0.3528208757568567,-0.8161365259687063,2016-11-14,2018-10-16,0.0784108977333895,-0.821164447808702,2016-11-30,2019-06-18,-0.2744099780234672
sz002404,2010-05-24,10,0.038525203871833336,-0.6929468354502453,2015-06-05,2018-10-18,-0.04224473282103769,-0.7936754516043143,2015-06-05,2020-02-04,-0.08076993669287102
sz002404,2010-05-26,12,0.04107372397092979,-0.6929468354502453,2015-06-05,2018-10-18,-0.05647172662328426,-0.7275600530285836,2015-06-05,2020-02-04,-0.09754545059421404
sz002404,2010-05-28,14,0.03808525115317907,-0.6929468354502453,2015-06-05,2018-10-18,-0.08795374019181701,-0.7006796227487506,2015-06-05,2019-11-29,-0.12603899134499608
sz002404,2010-06-01,16,0.046442536625065145,-0.6929468354502453,2015-06-05,2018-10-18,-0.09345534943352707,-0.68668920084279,2015-06-05,2020-02-04,-0.1398978860585922
sz002404,2010-06-03,18,0.04532791722180152,-0.6929468354502453,2015-06-05,2018-10-18,-0.08279016776233283,-0.7619479930230224,2015-06-05,2020-02-04,-0.12811808498413435
sz002404,2010-06-07,20,0.04416455228560667,-0.6929468354502453,2015-06-05,2018-10-18,-0.09215785268560872,-0.748669858532812,2015-06-05,2020-02-04,-0.1363224049712154
sz002404,2010-06-09,22,0.040616380449731704,-0.6929468354502453,2015-06-05,2018-10-18,-0.10807835034424551,-0.7930520916892135,2015-06-05,2020-02-04,-0.14869473079397721
sz002404,2010-06-11,24,0.03915968375581147,-0.6929468354502453,2015-06-05,2018-10-18,-0.12326704262985944,-0.8156306344340268,2015-06-05,2020-02-04,-0.1624267263856709
sz002404,2010-06-18,26,0.04757191433223329,-0.6929468354502453,2015-06-05,2018-10-18,-0.17206469292200144,-0.8427521767759433,2015-06-05,2020-02-04,-0.21963660725423473
sz002404,2010-06-22,28,0.04408034589994725,-0.6929468354502453,2015-06-05,2018-10-18,-0.14659943142575382,-0.8128379298096058,2015-06-05,2020-02-04,-0.19067977732570107
sz002404,2010-06-24,30,0.04411915208385575,-0.6929468354502453,2015-06-05,2018-10-18,-0.16271477230138098,-0.808880873652289,2010-12-21,2020-02-04,-0.20683392438523673
sz002362,2010-03-16,10,-0.0958928905599492,-0.9090585663755072,2010-05-25,2012-12-03,-0.10035323030409293,-0.8220200800180246,2015-11-20,2020-02-28,-0.0044603397441437265
sz002362,2010-03-18,12,-0.09896750056119574,-0.9090585663755072,2010-05-25,2012-12-03,-0.08642292899991089,-0.8040568772743165,2015-11-20,2020-02-28,0.012544571561284856
sz002362,2010-03-22,14,-0.09837894418727,-0.9090585663755072,2010-05-25,2012-12-03,-0.08115441899296494,-0.8142939996946622,2015-11-20,2020-02-28,0.017224525194305063
sz002362,2010-03-24,16,-0.10808103860009433,-0.9090585663755072,2010-05-25,2012-12-03,-0.006365302466568634,-0.729209076302122,2015-11-20,2020-02-28,0.10171573613352569
sz002362,2010-03-26,18,-0.10532222836124816,-0.9090585663755072,2010-05-25,2012-12-03,-0.04505241548666461,-0.7490829229084677,2015-11-20,2020-02-28,0.06026981287458355
sz002362,2010-03-30,20,-0.10915821232486234,-0.9090585663755072,2010-05-25,2012-12-03,-0.02435067267160773,-0.7333541275209841,2010-05-25,2013-07-29,0.0848075396532546
sz002362,2010-04-01,22,-0.11325461329658415,-0.9090585663755072,2010-05-25,2012-12-03,-0.05189126187360216,-0.7182716439260821,2010-05-25,2013-07-29,0.06136335142298199
sz002362,2010-04-06,24,-0.12334388221277026,-0.9090585663755072,2010-05-25,2012-12-03,-0.08230643980305752,-0.7499148881446237,2010-05-25,2013-12-26,0.04103744240971274
sz002362,2010-04-08,26,-0.1262349444177968,-0.9090585663755072,2010-05-25,2012-12-03,-0.06519651815393446,-0.7984721830173976,2010-05-25,2013-07-29,0.061038426263862355
sz002362,2010-04-13,28,-0.122893194442102,-0.9090585663755072,2010-05-25,2012-12-03,-0.10985995540295856,-0.8181128260078094,2010-05-25,2013-07-29,0.01303323903914344
sz002362,2010-04-15,30,-0.11692032355119342,-0.9090585663755072,2010-05-25,2012-12-03,-0.11533595830612131,-0.8281031521405614,2010-05-25,2013-07-29,0.0015843652450721057
sz002376,2010-04-06,10,-0.000726419193452621,-0.6557722779734267,2015-06-05,2015-09-01,-0.052986450847738675,-0.6250513492394398,2015-06-05,2020-02-28,-0.052260031654286054
sz002376,2010-04-08,12,0.0028860250464313175,-0.6557722779734267,2015-06-05,2015-09-01,0.004807311141522108,-0.6127991217557007,2018-03-13,2019-08-13,0.0019212860950907906
sz002376,2010-04-12,14,-0.005572738587442783,-0.6557722779734267,2015-06-05,2015-09-01,-0.04071812379108597,-0.6432082134471402,2015-12-17,2020-03-13,-0.03514538520364319
sz002376,2010-04-14,16,0.006876248910643978,-0.6557722779734267,2015-06-05,2015-09-01,-0.09047076618568117,-0.5929760993371744,2015-12-17,2020-03-13,-0.09734701509632515
sz002376,2010-04-16,18,0.010335568040979792,-0.6557722779734267,2015-06-05,2015-09-01,-0.057316989137871754,-0.6751176628297815,2015-12-17,2020-03-13,-0.06765255717885155
sz002376,2010-04-20,20,0.008578008971134254,-0.6557722779734267,2015-06-05,2015-09-01,-0.028309898237392273,-0.6054231355315759,2015-06-05,2020-03-13,-0.03688790720852653
sz002376,2010-04-22,22,0.002248282792165268,-0.6557722779734267,2015-06-05,2015-09-01,-0.06142841488222506,-0.6800018254312383,2015-06-05,2020-03-13,-0.06367669767439033
sz002376,2010-04-26,24,0.00896275776245381,-0.6557722779734267,2015-06-05,2015-09-01,-0.09196084102617208,-0.7025869495451941,2015-06-05,2020-03-13,-0.10092359878862589
sz002376,2010-04-28,26,0.017565422250249263,-0.6557722779734267,2015-06-05,2015-09-01,-0.07320896383378206,-0.6733926725624038,2015-06-05,2020-03-13,-0.09077438608403132
sz002376,2010-04-30,28,0.01973085382783979,-0.6557722779734267,2015-06-05,2015-09-01,-0.06918774485369339,-0.6895472764886732,2015-06-05,2020-03-13,-0.08891859868153318
sz002376,2010-05-05,30,0.015465023595298,-0.6557722779734267,2015-06-05,2015-09-01,-0.08837756845113565,-0.7657035880781281,2015-06-05,2020-03-13,-0.10384259204643365
sz000561,2006-01-04,10,0.1402181618315319,-0.7376968098586403,2015-06-02,2018-10-16,0.11613640975425832,-0.6961603801496672,2015-12-30,2019-02-26,-0.024081752077273588
sz000561,2006-01-04,12,0.1402181618315319,-0.7376968098586403,2015-06-02,2018-10-16,0.16671044599766116,-0.726658570133683,2015-12-30,2019-02-26,0.026492284166129254
sz000561,2006-01-04,14,0.1402181618315319,-0.7376968098586403,2015-06-02,2018-10-16,0.10406428880918361,-0.7156308630005698,2015-12-30,2019-02-26,-0.03615387302234829
sz000561,2006-01-04,16,0.1402181618315319,-0.7376968098586403,2015-06-02,2018-10-16,0.07659745287182607,-0.7326496151996797,2010-04-15,2019-02-26,-0.06362070895970584
sz000561,2006-01-04,18,0.1402181618315319,-0.7376968098586403,2015-06-02,2018-10-16,0.08806744556472501,-0.695039623350703,2015-12-30,2018-11-23,-0.052150716266806896
sz000561,2006-01-04,20,0.1402181618315319,-0.7376968098586403,2015-06-02,2018-10-16,0.08340748631401773,-0.6918688617609332,2010-04-15,2014-06-20,-0.056810675517514175
sz000561,2006-01-04,22,0.1402181618315319,-0.7376968098586403,2015-06-02,2018-10-16,0.06423794767752744,-0.7678815071142675,2010-04-15,2014-06-20,-0.07598021415400447
sz000561,2006-01-04,24,0.1402181618315319,-0.7376968098586403,2015-06-02,2018-10-16,0.07723203799454703,-0.7739633062985781,2010-04-15,2014-06-20,-0.06298612383698488
sz000561,2006-01-04,26,0.1402181618315319,-0.7376968098586403,2015-06-02,2018-10-16,0.03422962687820119,-0.8234004493745835,2010-04-15,2014-06-20,-0.10598853495333072
sz000561,2006-01-04,28,0.1402181618315319,-0.7376968098586403,2015-06-02,2018-10-16,0.01327748858729838,-0.7860248613096157,2010-04-15,2014-06-20,-0.12694067324423353
sz000561,2006-01-04,30,0.1402181618315319,-0.7376968098586403,2015-06-02,2018-10-16,0.021423051457329256,-0.761581009876791,2010-04-15,2014-01-09,-0.11879511037420265
sz002410,2010-06-07,10,0.2849926838249619,-0.7123477670528959,2015-05-21,2016-01-28,0.101779926172479,-0.4650169883452303,2010-12-31,2012-12-27,-0.1832127576524829
sz002410,2010-06-09,12,0.28300023840610344,-0.7123477670528959,2015-05-21,2016-01-28,0.11662609212996822,-0.511427258189187,2015-05-21,2016-02-29,-0.16637414627613523
sz002410,2010-06-11,14,0.2788523474665954,-0.7123477670528959,2015-05-21,2016-01-28,0.18822053328788813,-0.4048129737084696,2014-02-19,2015-01-15,-0.09063181417870725
sz002410,2010-06-18,16,0.2891910037169674,-0.7123477670528959,2015-05-21,2016-01-28,0.2010001210189709,-0.3668991968984848,2015-11-25,2019-06-17,-0.08819088269799646
sz002410,2010-06-22,18,0.2791386755439793,-0.7123477670528959,2015-05-21,2016-01-28,0.2791299017317701,-0.3438306903408115,2018-05-23,2019-05-24,-8.773812209206255e-06
sz002410,2010-06-24,20,0.2761523503339658,-0.7123477670528959,2015-05-21,2016-01-28,0.3002539907106352,-0.34395104595378956,2018-05-23,2019-05-24,0.024101640376669398
sz002410,2010-06-28,22,0.2787382461240202,-0.7123477670528959,2015-05-21,2016-01-28,0.2727996237726882,-0.3700194690859322,2014-02-19,2014-12-30,-0.0059386223513320235
sz002410,2010-07-01,24,0.2834925182239936,-0.7123477670528959,2015-05-21,2016-01-28,0.27480784602206376,-0.38483252177781035,2014-02-19,2014-12-30,-0.00868467220192981
sz002410,2010-07-05,26,0.2928303564956214,-0.7123477670528959,2015-05-21,2016-01-28,0.2604882551328649,-0.42799105284356465,2015-04-08,2016-07-01,-0.032342101362756503
sz002410,2010-07-07,28,0.2868272426923024,-0.7123477670528959,2015-05-21,2016-01-28,0.22877360560926352,-0.4861546699450029,2015-04-08,2016-07-01,-0.0580536370830389
sz002410,2010-07-09,30,0.28121462444884293,-0.7123477670528959,2015-05-21,2016-01-28,0.23599714617017487,-0.44865751559122335,2015-05-21,2016-07-01,-0.045217478278668066
sh600429,2006-01-04,10,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,0.12028774631699024,-0.6299225312165491,2013-10-21,2019-08-26,0.027389181970031817
sh600429,2006-01-04,12,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,0.03246087255317365,-0.7854272121300179,2008-01-07,2019-08-30,-0.060437691793784776
sh600429,2006-01-04,14,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,0.026011264875472007,-0.7790193528519456,2008-01-07,2020-03-13,-0.06688729947148642
sh600429,2006-01-04,16,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,0.0874331914414388,-0.6160327757261882,2013-10-21,2020-03-13,-0.005465372905519628
sh600429,2006-01-04,18,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,-0.0032516696302505865,-0.8245612180714441,2007-05-22,2020-03-13,-0.09615023397720901
sh600429,2006-01-04,20,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,-0.030419859562671347,-0.8811806643213096,2007-05-22,2020-03-13,-0.12331842390962977
sh600429,2006-01-04,22,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,-0.037585034841437825,-0.8887193961508859,2007-05-22,2020-03-13,-0.13048359918839625
sh600429,2006-01-04,24,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,0.003187975896032258,-0.805417243297245,2007-05-22,2020-03-13,-0.08971058845092617
sh600429,2006-01-04,26,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,-0.022436186798600377,-0.879294573108033,2007-05-22,2020-03-13,-0.1153347511455588
sh600429,2006-01-04,28,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,-0.007239164888581562,-0.853035426764833,2007-05-22,2020-03-13,-0.10013772923553999
sh600429,2006-01-04,30,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,0.025666674205828688,-0.801357947370906,2009-05-19,2020-03-13,-0.06723189014112974
sh603108,2015-06-09,10,-0.00112450159462818,-0.6512236487599862,2015-11-12,2019-01-25,0.026230204522444955,-0.4053581519859294,2019-04-04,2019-12-30,0.027354706117073135
sh603108,2015-06-11,12,-0.04663014702385493,-0.6512236487599862,2015-11-12,2019-01-25,-0.09693070603368548,-0.509517276039207,2015-11-12,2020-03-13,-0.05030055900983055
sh603108,2015-06-15,14,-0.09021609212279624,-0.6512236487599862,2015-11-12,2019-01-25,-0.06605556124810252,-0.48112777645786875,2016-04-06,2018-11-26,0.02416053087469372
sh603108,2015-06-17,16,-0.08815066146675321,-0.6512236487599862,2015-11-12,2019-01-25,-0.001467888559436803,-0.47847396739583403,2016-04-06,2019-01-31,0.08668277290731641
sh603108,2015-06-19,18,-0.09502716934588806,-0.6512236487599862,2015-11-12,2019-01-25,-0.08874870405902857,-0.6718195157448059,2015-11-12,2019-01-10,0.0062784652868594915
